,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2004-04-02,5788.080078125,-0.9941,0.122,0.788,0.09,5762.81005859375,5799.16015625,5700.60009765625,33000.0
2004-04-05,5838.02001953125,-0.9974,0.116,0.814,0.07,5809.740234375,5905.35009765625,5798.3701171875,24000.0
2004-04-06,5822.419921875,-0.999,0.147,0.773,0.081,5886.02001953125,5897.56005859375,5780.93994140625,27400.0
2004-04-07,5815.1298828125,-0.9986,0.143,0.774,0.083,5827.06982421875,5860.669921875,5774.8798828125,22800.0
2004-04-08,5838.4501953125,-0.9966,0.125,0.793,0.082,5824.3701171875,5864.5498046875,5783.740234375,28600.0
2004-04-12,5783.7900390625,-0.975,0.124,0.778,0.097,5856.43994140625,5867.06982421875,5760.25,19800.0
2004-04-13,5904.52001953125,-0.9897,0.136,0.764,0.099,5823.52978515625,5920.18017578125,5743.580078125,23400.0
2004-04-15,5843.97021484375,-0.9927,0.111,0.823,0.066,5923.83984375,5927.0400390625,5824.2099609375,32400.0
2004-04-16,5862.81982421875,-0.9974,0.134,0.791,0.075,5870.41015625,5903.1298828125,5843.77001953125,23000.0
2004-04-19,5800.5400390625,-0.9874,0.12,0.796,0.084,5875.52978515625,5895.169921875,5782.3701171875,22000.0
2004-04-20,5804.81005859375,-0.9842,0.103,0.82,0.077,5814.8798828125,5819.919921875,5765.3798828125,20800.0
2004-04-21,5876.419921875,-0.986,0.117,0.812,0.072,5803.7001953125,5890.02001953125,5783.919921875,21400.0
2004-04-22,5924.18017578125,0.8615,0.079,0.835,0.086,5888.169921875,5947.56982421875,5863.60009765625,23800.0
2004-04-23,5925.580078125,-0.9987,0.174,0.747,0.078,5941.10009765625,5979.25,5905.580078125,31200.0
2004-04-27,5712.27978515625,-0.9969,0.125,0.808,0.067,5841.2998046875,5841.2998046875,5704.27978515625,30600.0
2004-04-28,5713.08984375,-0.9809,0.119,0.799,0.082,5709.43017578125,5757.52001953125,5659.830078125,26000.0
2004-04-29,5668.43017578125,-0.8839,0.086,0.84,0.073,5710.56005859375,5710.56005859375,5626.41015625,32600.0
2004-04-30,5655.08984375,0.9298,0.101,0.789,0.11,5674.759765625,5710.4501953125,5632.990234375,25000.0
2004-05-03,5584.990234375,-0.9908,0.106,0.813,0.081,5645.85986328125,5645.85986328125,5506.0,26800.0
2004-05-04,5647.14990234375,-0.9897,0.126,0.768,0.105,5616.41015625,5677.10986328125,5616.41015625,22800.0
2004-05-05,5686.18994140625,-0.9874,0.083,0.871,0.046,5665.669921875,5695.18017578125,5648.64013671875,31400.0
2004-05-06,5757.2998046875,-0.9989,0.141,0.791,0.069,5749.97998046875,5772.64013671875,5739.259765625,25000.0
